Código de Entidad;Descripción de Entidad;Fecha de Información;Nombre completo del Préstamo Personal;Nombre corto del Préstamo Personal;Denominación;Monto máximo otorgable;Monto mínimo otorgable;Plazo máximo otorgable;Ingreso mínimo mensual solicitado;Antigüedad laboral mínima (meses);Edad máxima solicitada;Relación cuota/ingreso (%);Beneficiario;Cargo máximo por cancelación anticipada;Tasa efectiva anual máxima;Tipo de Tasa;Costo financiero efectivo total máximo;Cuota inicial a plazo máximo cada $10.000;Territorio de validez de la oferta;Más información
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;12/6/2026;PRESTAMOPERSONAL;PP;Pesos;24800000;500;72;310000;0;80;30;Todos los beneficiarios;4;283;Fija;398;1442;Todo el territorio nacional;
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;12/6/2026;PRESTAMOPERSONALUVA;PPUVA;UVA;2000000;500;24;310000;0;80;30;Todos los beneficiarios;4;30;Fija;37;956;Todo el territorio nacional;
11;BANCO DE LA NACION ARGENTINA;15/5/2026;MAS AUTOS CON BNA;MAS AUTOS;Pesos;100000000;1000000;72;145327;0;100;30;Todos los beneficiarios;4;57,5;Fija;72,3;509;Todo el territorio nacional;
11;BANCO DE LA NACION ARGENTINA;15/5/2026;NACION PERSONALES LIBRE DESTINO TRAMO IV;NACION LIBRE DESTINO;Pesos;50000000;100000;72;363922;12;100;30;Clientes con cuenta en la entidad;4;140,4;Fija;186,76;922;Todo el territorio nacional;
11;BANCO DE LA NACION ARGENTINA;15/5/2026;ADELANTO DE HABERES;ADELANTO DE HABERES;Pesos;500000;50000;1;373918;1;100;50;Clientes que acrediten sueldos en la entidad;0;140,51;Fija;186,76;10918;Todo el territorio nacional;
11;BANCO DE LA NACION ARGENTINA;15/5/2026;NACION SUELDOS TRAMO III;NACION SUELDOS;Pesos;100000000;100000;72;363583;3;74;35;Clientes que acrediten sueldos en la entidad;4;72,86;Fija;93,32;583;Todo el territorio nacional;
11;BANCO DE LA NACION ARGENTINA;15/5/2026;NACION PREVISIONAL;NACION PREVISIONAL;Pesos;50000000;100000;72;16654;0;88;35;Clientes que acrediten sueldos en la entidad;4;72,92;Fija;93,32;677;Todo el territorio nacional;
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;11/5/2026;PRESTAMO PERSONAL UVA;UVA;Pesos;50000000;100000;24;1300;3;100;35;Clientes que acrediten sueldos en la entidad;4;28,07;Fija;28,07;5337;Ciudad Autónoma de Buenos Aires;0
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;11/5/2026;PRESTAMO PERSONAL UVA;UVA;Pesos;50000000;100000;24;1300;3;100;35;Clientes que acrediten sueldos en la entidad;4;28,07;Fija;28,07;5337;Provincia de Buenos Aires;0
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;11/5/2026;PRESTAMO PERSONAL PROVINCIA;PRESTAMO PERSONAL;Pesos;50000000;100000;36;1300;12;100;30;Personas humanas en relación de dependencia;4;178,19;Fija;178,19;10220;Ciudad Autónoma de Buenos Aires;0
